orid,area,sub,type,spotlight,n_claims,max_pts,title,authors,arxiv,openreview,alphaxiv,hf
Ue8aOgz9T9,Applications,Chemistry Physics And Earth Sciences,Poster,True,3,6,FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications,Kieran Didi; Sarah Alamdari; Alex Xijie Lu; Bruce James Wittmann; Kadina E Johnston; Ava P Amini; Ali Madani; Maya Czeneszew; Christian Dallago; Kevin K Yang,,https://openreview.net/forum?id=Ue8aOgz9T9,,
P3Mnh7mF5a,Theory,Reinforcement Learning And Planning,Poster,False,5,10,Provable Benefits of RLVR over SFT for Reasoning Models: Learning to Backtrack Efficiently,Stanley Wei; Juno Kim,2606.22938,https://openreview.net/forum?id=P3Mnh7mF5a,2606.22938,
92oF5bU4cU,Deep Learning,Large Language Models,Poster,True,5,10,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Yulu Gan; Phillip Isola,2603.12228,https://openreview.net/forum?id=92oF5bU4cU,2603.12228,2603.12228
s7wV3xGQFL,Theory,Learning Theory,Poster,False,5,10,Coverage Improvement and Fast Convergence of On-policy Preference Learning,Juno Kim; Jihun Yun; Jason D. Lee; Kwang-Sung Jun,2601.08421,https://openreview.net/forum?id=s7wV3xGQFL,2601.08421,
XInXredBC1,Deep Learning,Everything Else,Poster,False,3,6,Euler–Poincaré Neural Dynamics: A Geometric-Mechanics Framework for Scientific Simulation,Sungwoo Park; Jongwon Lee; Jiwoong Kim,,https://openreview.net/forum?id=XInXredBC1,,
EVlt6J7PGR,General Machine Learning,Everything Else,Poster,False,2,4,Lie-Algebraic Acceleration of Neural Koopman Dynamics,Jongwon Lee; Jiwoong Kim; Jungwoo Park; Sungwoo Park,,https://openreview.net/forum?id=EVlt6J7PGR,,
u4uFwVwZGr,Applications,Computer Vision,Poster,False,6,12,Adaptive Volumetric Mechanical Property Fields Invariant to Resolution,Rishit Dagli; Donglai Xiang; Vismay Modi; Xuning Yang; Gavriel State; David Levin I.W.; Maria Shugrina,2606.18231,https://openreview.net/forum?id=u4uFwVwZGr,2606.18231,2606.18231
L0xGI4e0BF,Applications,Robotics,Poster,False,6,12,The Lie We Tell: Correcting the Euclidean Fallacy in Vision Language Action Policies via Score Matching on Tangent Space,Bing-Cheng Chuang; I-Hsuan Chu; Bor-Jiun Lin; YuanFu Yang; Min Sun; Chun-Yi Lee,2606.01847,https://openreview.net/forum?id=L0xGI4e0BF,2606.01847,
bYDjZyqKxq,Deep Learning,Large Language Models,Poster,False,6,12,MEMO: Memory-Augmented Model Context Optimization for Robust Multi-Turn Multi-Agent LLM Games,Yunfei Xie; Kevin Wang; Bobby Cheng; Jianzhu Yao; Zhizhou Sha; Alexander Duffy; Yihan Xi; Hongyuan Mei; Cheston Tan; Chen Wei; Pramod Viswanath; Zhangyang Wang,2603.09022,https://openreview.net/forum?id=bYDjZyqKxq,2603.09022,2603.09022
PWhmZ04OTr,Social Aspects,Security,Poster,False,6,12,PragLocker: Protecting Agent Intellectual Property in Untrusted Deployments via Non-Portable Prompts,Qinfeng Li; Yuntai Bao; Jianghui Hu; Wenqi Zhang; Jintao Chen; Huifeng Zhu; Yier Jin; Xuhong Zhang,2605.05974,https://openreview.net/forum?id=PWhmZ04OTr,2605.05974,2605.05974
Cdi2lBTm3M,Applications,Chemistry Physics And Earth Sciences,Poster,False,6,12,MacroGuide: Topological Guidance for Macrocycle Generation,Alicja Maksymiuk; Alexandre Duplessis; Michael M. Bronstein; Alexander Tong; Fernanda Duarte; Ismail Ilkan Ceylan,2602.14977,https://openreview.net/forum?id=Cdi2lBTm3M,2602.14977,
Csmrtng6PP,Deep Learning,Robustness,Poster,False,6,12,CARE: Class-Adaptive Expert Consensus for Reliable Learning with Long-Tailed Noisy Labels,Mengke Li; Haiquan Ling; Lihao Chen; Yang Lu; Yiqun Zhang; Hui Huang,2605.23254,https://openreview.net/forum?id=Csmrtng6PP,2605.23254,
B1yOdZOACl,Deep Learning,Large Language Models,Poster,False,6,12,ToMAP: Training Opponent-Aware LLM Persuaders with Theory of Mind,Peixuan Han; Zijia Liu; Jiaxuan You,2505.22961,https://openreview.net/forum?id=B1yOdZOACl,2505.22961,2505.22961
ZP1p8k106p,Reinforcement Learning,Deep Rl,Poster,False,6,12,Debiased Model-based Representations for Sample-efficient Continuous Control,Jiafei Lyu; Zichuan Lin; Scott Fujimoto; Kai Yang; Yangkun Chen; Saiyong Yang; Zongqing Lu; Deheng Ye,2605.11711,https://openreview.net/forum?id=ZP1p8k106p,2605.11711,2605.11711
OTKdKRLXf7,General Machine Learning,Clustering,Poster,True,3,6,Asymmetric Multi-View Clustering with Hyperbolic Uncertainty Modeling,Yiming Wang; Qun Li; Dongxia Chang; Jie Wen; Hua Dai; Fu Xiao,,https://openreview.net/forum?id=OTKdKRLXf7,,
LTHHiPNbrs,Theory,Online Learning And Bandits,Poster,False,5,10,Incentivized Exploration with Stochastic Covariates: A Two-Stage Mechanism Design for Recommender System,Yuantong Li; Guang Cheng; Xiaowu Dai,2406.04374,https://openreview.net/forum?id=LTHHiPNbrs,2406.04374,
16CV9RimWM,Applications,Computer Vision,Poster,False,6,12,Efficient Generative Modeling beyond Memoryless Diffusion via Adjoint Schrödinger Bridge Matching,Jeongwoo Shin; Jinhwan Sul; Joonseok Lee; Jaewoong Choi; Jaemoo Choi,2602.15396,https://openreview.net/forum?id=16CV9RimWM,2602.15396,
XGxBnVqK63,Deep Learning,Attention Mechanisms,Poster,False,6,12,Do Transformers Need Three Projections? Systematic Study of QKV Variants,Ali Kayyam; Anusha Madan Gopal; M Anthony Lewis,2606.04032,https://openreview.net/forum?id=XGxBnVqK63,2606.04032,2606.04032
emDhH9VFqm,Applications,Time Series,Poster,False,6,12,ReNF: Rethinking the Design of Neural Long-Term Time Series Forecasters,Yihang Lu; Xianwei Meng; Enhong Chen,2509.25914,https://openreview.net/forum?id=emDhH9VFqm,2509.25914,
E90S2T7S5T,Applications,Computer Vision,Poster,False,2,4,GHOST: Geometry-Guided Hallucination of Opaque Surface Textures,Langxu Zhao; Zuan Gu; Tianhan Gao,,https://openreview.net/forum?id=E90S2T7S5T,,
ztVp5EqREE,Deep Learning,Large Language Models,Poster,False,5,10,Grouter: Decoupling Routing from Representation for Accelerated MoE Training,Yuqi Xu; Rizhen Hu; Zihan Liu; Mou Sun; Kun Yuan,2603.06626,https://openreview.net/forum?id=ztVp5EqREE,2603.06626,2603.06626
5crqGLOpnf,Deep Learning,Graph Neural Networks,Poster,False,5,10,ERAlign: Energy-based Representation Alignment of GNNs and LLMs on Text-attributed Graphs,Xianlin Zeng; Fan Xia; Xiangyu Chen,2606.10461,https://openreview.net/forum?id=5crqGLOpnf,2606.10461,
Ai4vdy80p5,Deep Learning,Generative Models And Autoencoders,Poster,False,5,10,Embedding-perturbed Exploration Preference Optimization for Flow Models,Sujie Hu; Chubin Chen; Jiashu Zhu; Jiahong Wu; Xiangxiang Chu; Xiu Li,2605.15803,https://openreview.net/forum?id=Ai4vdy80p5,2605.15803,
8WrMPCd7Kr,Deep Learning,Attention Mechanisms,Poster,False,6,12,Stem: Rethinking Causal Information Flow in Sparse Attention,Lin Niu; Xin Luo; Linchuan Xie; Yifu Sun; Guanghua Yu; Jianchen Zhu; S Kevin Zhou,2603.06274,https://openreview.net/forum?id=8WrMPCd7Kr,2603.06274,
MGrOId7zTe,Reinforcement Learning,Batchoffline,Poster,False,6,12,QHyer: Q-conditioned Hybrid Attention-mamba Transformer for Offline Goal-conditioned RL,Xing Lei; Jincheng Wang; Xuetao Zhang; Donglin Wang,2605.01862,https://openreview.net/forum?id=MGrOId7zTe,2605.01862,
49ZO681M7H,Social Aspects,Security,Poster,False,2,4,Lookahead-GCG: Improving Universal Multi-Model Optimization-Based Jailbreaking Attacks via Stochastic Nesterov Optimization,Rong Feng; Haohan Zhao; Shiqin Tang; Geng Liu; Song Lai; Meng Wang; Shuxin Zhuang; Yuqi Zha; Changyi Ma; Runsheng Yu,,https://openreview.net/forum?id=49ZO681M7H,,
NiMMHsFCvo,Applications,Computer Vision,Poster,False,6,12,Offline Preference Optimization for Rectified Flow with Noise-Tracked Pairs,Yunhong Lu; Qichao Wang; Hengyuan Cao; Xiaoyin Xu; Min Zhang,2605.09433,https://openreview.net/forum?id=NiMMHsFCvo,2605.09433,2605.09433
mrb4eOur7r,Applications,Computer Vision,Poster,False,5,10,LATO: 3D Mesh Flow Matching with Structured TOpology Preserving LAtents,Tianhao Zhao; Youjia Zhang; Hang Long; Jinshen Zhang; Wenbing Li; Yang Yang; Gongbo Zhang; Jozef Hladký; Matthias Nießner; Wei Yang,2603.06357,https://openreview.net/forum?id=mrb4eOur7r,2603.06357,2603.06357
0GlXVAmy7b,Applications,Robotics,Poster,False,2,4,Cross-Tactile Sensor Representation Learning,Yan Zhang; Zheng WANG; Pengpeng Zeng; Xing Xu; Jingkuan Song; Heng Tao Shen,,https://openreview.net/forum?id=0GlXVAmy7b,,
IBLJ5MNcgy,Deep Learning,Other Representation Learning,Poster,False,2,4,Bridging the Grounding Gap in VideoQA via Typed Memory for Language-based Belief-State Reasoning,Saman Forouzandeh; Wei Peng; Xinghuo Yu; Mahdi Jalili,,https://openreview.net/forum?id=IBLJ5MNcgy,,
98XhDbtB21,Reinforcement Learning,,Poster,False,5,10,QUATRO: Query-Adaptive Trust Region Policy Optimization for LLM Fine-tuning,Doyeon Lee; Eunyi Lyou; Hyunsoo Cho; Soo Kyung Kim; Joonseok Lee; Jaemoo Choi,2602.04620,https://openreview.net/forum?id=98XhDbtB21,2602.04620,
ydQkpswDPi,Deep Learning,Large Language Models,Poster,False,6,12,Models Under SCOPE: Scalable and Controllable Routing via Pre-hoc Reasoning,Qi Cao; Shuhao Zhang; Ruizhe Zhou; Ruiyi Zhang; Peijia Qin; Pengtao Xie,2601.22323,https://openreview.net/forum?id=ydQkpswDPi,2601.22323,2601.22323
206P2ygDYN,Deep Learning,Other Representation Learning,Poster,False,5,10,"The Convergent Representation of Contrastive Vision-Language Models: Geometry, Modality Gap and Shared Space Alignment",Lingjie Yi; Raphael Douady; Chao Chen,2510.03268,https://openreview.net/forum?id=206P2ygDYN,2510.03268,
AiawINF2T0,Deep Learning,Large Language Models,Poster,False,5,10,InteractComp: Evaluating Search Agents With Ambiguous Queries,Mingyi Deng; Lijun Huang; Yani Fan; Fanqi Kong; Jiayi Zhang; Fashen Ren; Jinyi Bai; Fuzhen Yang; Dayi Miao; Zhaoyang Yu; Yifan Wu; Yanfei Zhang; Fengwei Teng; Yingjia Wan; Song Hu; Yude Li; Xin Jin; Conghao Hu; Haoyu Li; Qirui Fu; Tai Zhong; Xinyu Wang; Xiangru Tang; Nan Tang; Chenglin Wu; Yuyu Luo,2510.24668,https://openreview.net/forum?id=AiawINF2T0,2510.24668,2510.24668
v0DWbfP3b9,Applications,Health Medicine,Poster,False,5,10,MedCRP-CL: Continual Medical Image Segmentation via Bayesian Nonparametric Semantic Modality Discovery,Ziyuan Gao,2605.20297,https://openreview.net/forum?id=v0DWbfP3b9,2605.20297,
A5KwfEqWSu,Applications,Computer Vision,Poster,False,6,12,GemDepth: Geometry-Embedded Features for 3D-Consistent Video Depth,Yuecheng Liu; Junda Cheng; Longliang Liu; Wenjing Liao; Hanrui Cheng; Yuzhou Wang; Xin Yang,2605.10525,https://openreview.net/forum?id=A5KwfEqWSu,2605.10525,
aFV5K8vPAI,General Machine Learning,Supervised Learning,Poster,False,2,4,On the Power of Statistics in Class-Incremental Learning with Pretrained Models,Zhiwen Cao; Yanfeng Li; Shu-Dong Huang; Yalan Ye; Shuyin Xia; Yi Wang; Jiancheng Lv,,https://openreview.net/forum?id=aFV5K8vPAI,,
SAzz3DJdGy,General Machine Learning,Scalable Algorithms,Poster,False,3,6,Beyond Hamming: Query-Aware Decoding of Binary Cosine Sketches,DaeHun Nyang,,https://openreview.net/forum?id=SAzz3DJdGy,,
X3wIJK1gmP,General Machine Learning,,Poster,False,2,4,Coupled Trigger Optimization and Vulnerable Parameter Alignment for Persistent Backdoor Attacks on Federated Learning,Zhixuan Ma; Haichang Gao; Shangwen Li; Ping Wang; Han Yu,,https://openreview.net/forum?id=X3wIJK1gmP,,
j5vTJrpoeL,Applications,Neuroscience Cognitive Science,Poster,False,6,12,Learning Multi-Scale Hypergraph for High-Order Brain Connectivity Analysis,Jaeyoon Sim; Soojin Hwang; Seunghun Baek; Guorong Wu; Won Hwa Kim,2606.03310,https://openreview.net/forum?id=j5vTJrpoeL,2606.03310,
vF2Xhg2s31,Deep Learning,Large Language Models,Poster,False,2,4,Toward Safe Quantization-Aware Fine-tuning: Understanding and Mitigating Safety Alignment Degradation,Yuning Yang; Guowei Peng; Xiurui Xie; Minrui Jiang; Shuang Liang; Guisong Liu,,https://openreview.net/forum?id=vF2Xhg2s31,,
MbmhB3KqKU,Theory,,Poster,False,5,10,Envy-Free Allocation of Indivisible Goods via Noisy Queries,Zihan Li; Yan Hao Ling; Jonathan Scarlett; Warut Suksompong,2602.06361,https://openreview.net/forum?id=MbmhB3KqKU,2602.06361,
K8UWWJUNYf,General Machine Learning,Hardware And Software,Poster,True,5,10,TideGS: Scalable Training of Over One Billion 3D Gaussian Splatting Primitives via Out-of-Core Optimization,Chonghao Zhong; Linfeng Shi; Chen Hua; Tiecheng Sun; Hao Zhao; Binhang Yuan; Chaojian Li,2605.20150,https://openreview.net/forum?id=K8UWWJUNYf,2605.20150,2605.20150
nWtjaAmug8,Applications,Robotics,Poster,False,4,8,STEP: Warm-Started Visuomotor Policies with Spatiotemporal Consistency Prediction,Jinhao Li; Yuxuan Cong; Yingqiao Wang; Hao Xia; Shan Huang; Yijia Zhang; Ningyi Xu; Guohao Dai,2602.08245,https://openreview.net/forum?id=nWtjaAmug8,2602.08245,
GtNkETQE6w,Deep Learning,Algorithms,Poster,False,4,8,Forget by Uncertainty: Orthogonal Entropy Unlearning for Quantized Neural Networks,Tian Zhang; Yujia Tong; Junhao Dong; Ke Xu; Yuze Wang; Jingling Yuan,2602.00567,https://openreview.net/forum?id=GtNkETQE6w,2602.00567,
emwU5Ry8M9,Applications,Robotics,Poster,False,2,4,NOMAD: Lifelong Trajectory Planning via Non-Parametric Bayesian Memory-Adaptive Diffusion Experts,Yixian Chen; Rufan Bai; Jiangbin Zheng; Yimin Wang; Tiantian CHEN; Wei Wang; Yuhuan Lu,,https://openreview.net/forum?id=emwU5Ry8M9,,
EbkumuY3eW,General Machine Learning,Evaluation,Poster,False,4,8,Benchmarking the Limits of In-Context Reinforcement Learning for Ad-Hoc Teamwork,Yuheng Jing; Kai Li; Jiajun Zhang; Zeyao Ma; Jiaxi Yang; Lei Zhang; Zhe Wu; Jinmin He; Junliang Xing; Jian Cheng,2605.24423,https://openreview.net/forum?id=EbkumuY3eW,2605.24423,
E8m9sL7N0d,Deep Learning,Generative Models And Autoencoders,Poster,False,2,4,Infinite-Precision Autoregressive Modeling for Vector Graphics and Layouts,Yeonsang Shin; Insoo Kim; Bongkeun Kim; Keonwoo Bae; Bohyung Han,,https://openreview.net/forum?id=E8m9sL7N0d,,
bzmt9wJ6uW,Deep Learning,Robustness,Poster,False,6,12,``Someone Hid It!'': Query-Agnostic Black-Box Attacks on LLM-Based Retrieval,Jiate Li; Defu Cao; Li Li; Wei Yang; Yuehan Qin; Chenxiao Yu; Tiannuo Yang; Ryan A. Rossi; Yan Liu; Xiyang Hu; Yue Zhao,2602.00364,https://openreview.net/forum?id=bzmt9wJ6uW,2602.00364,2602.00364
B3TmdSTo0X,Optimization,Discrete And Combinatorial Optimization,Poster,False,6,12,Learning-Augmented Scalable Linear Assignment Problem Optimization via Neural Dual Warm-Starts,Ilay Yavlovich; Jad Agbaria; Muhamed Mhamed; Nir Weinberger; Jose Yallouz,2605.09382,https://openreview.net/forum?id=B3TmdSTo0X,2605.09382,
2mEC3bPBlS,Deep Learning,Large Language Models,Poster,False,5,10,Thinking with Geometry: Active Geometry Integration for Spatial Reasoning,Haoyuan Li; Qihang Cao; Tao Tang; Kun Xiang; Zihan Guo; Jianhua Han; Jia-Wang Bian; Hang Xu; Xiaodan Liang,2602.06037,https://openreview.net/forum?id=2mEC3bPBlS,2602.06037,2602.06037
1AyRuF9ULp,Applications,Chemistry Physics And Earth Sciences,Poster,False,3,6,LipoPU: Pocket-level Prediction of Lipid-Protein Interactions via Positive-Unlabeled Learning,Yuxing Wang; Wenyi Zhang; Yilong Zou; Jing Huang,,https://openreview.net/forum?id=1AyRuF9ULp,,
v0AkeYfQGq,Applications,Neuroscience Cognitive Science,Poster,False,5,10,TEFormer: Structured Bidirectional Temporal Enhancement Modeling in Spiking Transformers,Sicheng Shen; Mingyang Lv; Bing Han; Dongcheng Zhao; Guobin Shen; Feifei Zhao; Yi Zeng,2601.18274,https://openreview.net/forum?id=v0AkeYfQGq,2601.18274,
gXTtBRI1yj,Applications,Neuroscience Cognitive Science,Poster,False,5,10,NeurIPS: Neuro-anatomical Inductive Priors for Sphere-based Brain Decoding,Sijin Yu; Zijiao Chen; Zhenyu Yang; Zihao Tan; Jiakun Xu; Zhongliang Liu; shengxian chen; WENXUAN WU; Xiangmin Xu; Xin Zhang,2605.24993,https://openreview.net/forum?id=gXTtBRI1yj,2605.24993,
2UJrwCrqbw,Deep Learning,,Poster,False,6,12,Learn to Think: Improving Multimodal Reasoning through Vision-Aware Self-Improvement Training,Qihuang Zhong; Liang Ding; Wenjie Xuan; Juhua Liu; Bo Du; Dacheng Tao,2605.11931,https://openreview.net/forum?id=2UJrwCrqbw,2605.11931,
RxjGbyLFT1,Applications,Computer Vision,Poster,True,5,10,Just Noticeable Difference Modeling for Deep Visual Features,Rui Zhao; Wenrui Li; Lin Zhu; Yajing Zheng; Weisi Lin,2601.21933,https://openreview.net/forum?id=RxjGbyLFT1,2601.21933,
s6Vno2TwLJ,Theory,Game Theory,Poster,False,6,12,A Game-Theoretic Analysis of Attacks on Large Language Models via Compositional Skills,Xinbo Wu; Huan Zhang; Abhishek Umrawal; Lav R. Varshney,2605.01034,https://openreview.net/forum?id=s6Vno2TwLJ,2605.01034,
IABjbJlinz,Applications,Chemistry Physics And Earth Sciences,Poster,False,5,10,Beyond Continuity: Simulation-free Reconstruction of Discrete Branching Dynamics from Single-cell Snapshots,Junda Ying; Yuxuan Wang; Bowen Yang; Peijie Zhou; Lei Zhang,2605.00545,https://openreview.net/forum?id=IABjbJlinz,2605.00545,
T6OVjCzbrS,Applications,Computer Vision,Poster,False,6,12,Pair2Scene: Learning Local Object Relations for Procedural Scene Generation,Xingjian Ran; Shujie Zhang; Weipeng Zhong; Luo Li; Bo Dai,2604.11808,https://openreview.net/forum?id=T6OVjCzbrS,2604.11808,
AuO3hDGOCp,Applications,Computer Vision,Poster,False,5,10,4RC: 4D Reconstruction via Conditional Querying Anytime and Anywhere,Yihang Luo; Shangchen Zhou; Yushi Lan; Xingang Pan; Chen Change Loy,2602.10094,https://openreview.net/forum?id=AuO3hDGOCp,2602.10094,2602.10094
IhhgzNZNGW,Deep Learning,Large Language Models,Poster,False,5,10,E-VAds: An E-commerce Short Videos Understanding Benchmark for MLLMs,Xianjie Liu; Yiman Hu; Liang Wu; Ping Hu; Yixiong Zou; Jian Xu; Bo Zheng,2602.08355,https://openreview.net/forum?id=IhhgzNZNGW,2602.08355,2602.08355
pPCsSseMW5,Applications,Computer Vision,Poster,False,2,4,Boost the Identity-Preserving Embedding for Consistent Visual Generation,Zixun Xia; Kai Wang; Shuyu Guo; Boqian Li; jian Yang; Yaxing Wang,,https://openreview.net/forum?id=pPCsSseMW5,,
ZL2XH58JTi,Deep Learning,Large Language Models,Poster,False,5,10,The Quality-Utility Paradox: Why High-Reward Data Impairs Small Model Mathematical Reasoning,Haolong Qian; Xianliang Yang; Yinuo ma; Lirong Che; Feng Lu; Ye Guo; Lei Song; Jiang Bian; Chun Yuan,2606.16152,https://openreview.net/forum?id=ZL2XH58JTi,2606.16152,
v6Tpe2LRrW,Deep Learning,Large Language Models,Poster,False,5,10,HiDe: Rethinking The Zoom-IN method in High Resolution MLLMs via Hierarchical Decoupling,Xianjie Liu; Yiman Hu; Yixiong Zou; Liang Wu; Jian Xu; Bo Zheng,2510.00054,https://openreview.net/forum?id=v6Tpe2LRrW,2510.00054,
Ot8lh7vvGe,Deep Learning,Algorithms,Poster,False,6,12,AugMask: Training Diffusion Models on Incomplete Tabular Data via Stochastic Augmentation and Masking,Jungkyu Kim; Taeyoung Park; Kibok Lee,2606.03347,https://openreview.net/forum?id=Ot8lh7vvGe,2606.03347,
N9nlCRUiir,Theory,Learning Theory,Poster,False,6,12,Black-Box Assisted Regression: Phase Transitions and Minimax Optimality,Yan Zhou,2606.25743,https://openreview.net/forum?id=N9nlCRUiir,2606.25743,
w1fkDwiZgN,Optimization,,Poster,False,6,12,L-SR1: Learned Symmetric-Rank-One Preconditioning,Gal Lifshitz; Shahar Zuler; Ori Fouks; Dan Raviv,2508.12270,https://openreview.net/forum?id=w1fkDwiZgN,2508.12270,
aoUqzNEKpA,Applications,Everything Else,Poster,False,2,4,B-Spar: Bayesian Sparse-Reward Modeling for RL-based Image Editing,Shusong Xu; Peiye Liu; Yongbin Liu; Bangjie Yin; Tianyi Zheng; Zhaomang Sun; Zhenyu Chen; Peng-Tao Jiang; Jian Zhang; Yuzhao Wang; Zhen Gu; Jinwei Chen; Bo Li,,https://openreview.net/forum?id=aoUqzNEKpA,,
nqmb8hv39b,Deep Learning,Generative Models And Autoencoders,Poster,False,6,12,RevealLayer: Disentangling Hidden and Visible Layers via Occlusion-Aware Image Decomposition,Binhao Wang; Shihao Zhao; Bo Cheng; Qiuyu Ji; Yuhang Ma; Liebucha Wu; Shanyuan Liu; Dawei Leng; Yuhui Yin,2605.11818,https://openreview.net/forum?id=nqmb8hv39b,2605.11818,2605.11818
3mJ9eTU319,Probabilistic Methods,,Poster,False,6,12,Rethinking the Design Space of Reinforcement Learning for Diffusion Models: On the Importance of Likelihood Estimation Beyond Loss Design,Jaemoo Choi; Yuchen Zhu; Wei Guo; Petr Molodyk; Bo Yuan; Jinbin Bai; Yi Xin; Molei Tao; Yongxin Chen,2602.04663,https://openreview.net/forum?id=3mJ9eTU319,2602.04663,
DfhMMHXDuu,Probabilistic Methods,Bayesian Models And Methods,Poster,True,6,12,Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling,Zhibin Duan; Guowei Rong; Zhuo Li; Bo Chen; Mingyuan Zhou; Dandan Guo,2602.10623,https://openreview.net/forum?id=DfhMMHXDuu,2602.10623,2602.10623
OiOBtT157H,Reinforcement Learning,Multiagent,Poster,False,2,4,Towards Complete Multi-Agent Coordination Policy Learning via Denoising Maximum Entropy Optimization,Guanghao Li; Lei Yuan; Ruiqi Xue; Hengchang Zhang; Jianhong Wang; Yi-Chen Li; Yang Yu,,https://openreview.net/forum?id=OiOBtT157H,,
gl5xoOJJ22,Deep Learning,Large Language Models,Poster,False,6,12,CAMEL: Confidence-Gated Reflection for Reward Modeling,Zirui Zhu; Hailun Xu; Yang Luo; Yong Liu; Kanchan Sarkar; Kun Xu; Yang You,2602.20670,https://openreview.net/forum?id=gl5xoOJJ22,2602.20670,
AUWo5h4U38,Theory,Online Learning And Bandits,Poster,False,5,10,Respecting Modality Gap in Post-hoc Out-of-distribution Detection with Pre-trained Vision-Language Models,Yuanwei Hu; Bo Peng; Yadan Luo; Zhen Fang; Ling Chen; Jie Lu,2605.26661,https://openreview.net/forum?id=AUWo5h4U38,2605.26661,
S1TwW9szYm,Optimization,Zeroorder And Blackbox Optimization,Poster,False,5,10,Gradient-Free Approaches is a Key to an Efficient Interaction with Markovian Stochasticity,Boris Prokhorov; Semyon Chebykin; Alexander Gasnikov; Aleksandr Beznosikov,2601.01160,https://openreview.net/forum?id=S1TwW9szYm,2601.01160,
7waVdY1WmW,Applications,Computer Vision,Poster,False,3,6,Towards Trustworthy Video Anomaly Understanding: A Class-Guided Chain-of-Evaluation Metric and An Anomaly-focused Meta-Benchmark,Jiaxu Leng; Zhoujie Huang; Mingpi Tan; Zhanjie Wu; Xinbo Gao,,https://openreview.net/forum?id=7waVdY1WmW,,
gvWsViQBYB,Optimization,Nonconvex,Poster,False,5,10,Convergence Rate Analysis of the AdamW-Style Shampoo: Unifying One-Sided and Two-Sided Preconditioning,Huan Li; Yiming Dong; Zhouchen Lin,2601.07326,https://openreview.net/forum?id=gvWsViQBYB,2601.07326,
ISNSiAC3n1,Theory,Probabilistic Methods,Poster,False,5,10,Mean-Shift PCA by Knockoff Mean,Mengda Li; Zeng Li; Jianfeng Yao,2605.25460,https://openreview.net/forum?id=ISNSiAC3n1,2605.25460,
pn5lQVm3DH,Applications,Computer Vision,Poster,False,5,10,M-IDoL: Information Decomposition for Modality-Specific and Diverse Representation Learning in Medical Foundation Model,Yihang Liu; Longzhen Yang; Jiaxiong Yang; Ying Wen; Lianghua He; Heng Tao Shen,2604.08936,https://openreview.net/forum?id=pn5lQVm3DH,2604.08936,
MhMoUuoA1g,General Machine Learning,Everything Else,Poster,True,2,4,GR-LoRA: Gradient-Recycling Low-Rank Adaptation for Class-Incremental Learning,Yipeng Lin; Fengqiang Wan; Yang Yang,,https://openreview.net/forum?id=MhMoUuoA1g,,
2I7eG7zUQb,Applications,Computer Vision,Poster,False,6,12,DiscoForcing: A Unified Framework for Real-Time Audio-Driven Character Control with Diffusion Forcing,Kaiyang Ji; Bingsheng Qian; Binghuan Wu; Kangyi Chen; Ye Shi; Jingya Wang,2605.28491,https://openreview.net/forum?id=2I7eG7zUQb,2605.28491,
EFq5Ml9rqv,Applications,Computer Vision,Poster,False,4,8,PyVision-RL: Forging Open Agentic Vision Models via RL,Shitian Zhao; Shaoheng Lin; Ming Li; Haoquan Zhang; Wenshuo Peng; Kaipeng Zhang; Chen Wei,2602.20739,https://openreview.net/forum?id=EFq5Ml9rqv,2602.20739,2602.20739
5EIKSU0IOK,Applications,Computer Vision,Poster,False,6,12,Pareto-Guided Optimal Transport for Multi-Reward Alignment,Ying Ba; Tianyu Zhang; Mohan Zhou; Yalong Bai; Wenyi Mo; Guiwei Zhang; Bing Su; Ji-Rong Wen,2605.13155,https://openreview.net/forum?id=5EIKSU0IOK,2605.13155,
0xtMUL0eiF,Reinforcement Learning,Multiagent,Poster,True,5,10,Unsupervised Partner Design Enables Robust Ad-hoc Teamwork,Constantin Ruhdorfer; Matteo Bortoletto; Victor Oei; Anna Penzkofer; Andreas Bulling,2508.06336,https://openreview.net/forum?id=0xtMUL0eiF,2508.06336,
qAqp0k2SBP,General Machine Learning,Representation Learning,Poster,False,5,10,A Single Layer to Explain Them All: Understanding Massive Values in Large Language Models,Zeru Shi; Zhenting Wang; Fan Yang; Qifan Wang; Ruixiang Tang,2605.08504,https://openreview.net/forum?id=qAqp0k2SBP,2605.08504,2605.08504
qwtCnzt5B8,Applications,Health Medicine,Poster,False,2,4,EpiCoCo: De Novo Epitope Generation via MHC-Context Co-Modeling and Contrastive Affinity Guidance,Haoyang Luan; Gufeng Yu; Letian Chen; Zhenran Xiao; Yueshan Huang; Junkun Guo; Yang Yang,,https://openreview.net/forum?id=qwtCnzt5B8,,
7kXXBRMi1r,Optimization,Zeroorder And Blackbox Optimization,Poster,False,4,8,Evolution of Benchmark: Black-Box Optimization Benchmark Design through Large Language Model,Chen Wang; Sijie Ma; Zeyuan Ma; Yue-Jiao Gong,2601.21877,https://openreview.net/forum?id=7kXXBRMi1r,2601.21877,
